title,rating,year,actors,runtime,url
Bride of Frankenstein,7.8,1935,Boris Karloff;Elsa Lanchester;Colin Clive;Valerie Hobson,75,https://www.imdb.com/title/tt0026138/
A Tale of Two Cities,7.8,1935,Robert Z. Leonard;Ronald Colman;Elizabeth Allan;Edna May Oliver;Reginald Owen,128,https://www.imdb.com/title/tt0027075/
Mutiny on the Bounty,7.7,1935,Charles Laughton;Clark Gable;Franchot Tone;Herbert Mundin,132,https://www.imdb.com/title/tt0026752/
Het complot der 39 stappen,7.7,1935,Robert Donat;Madeleine Carroll;Lucie Mannheim;Godfrey Tearle,86,https://www.imdb.com/title/tt0026029/
Top Hat,7.8,1935,Fred Astaire;Ginger Rogers;Edward Everett Horton;Erik Rhodes,101,https://www.imdb.com/title/tt0027125/
The Informer,7.4,1935,Victor McLaglen;Heather Angel;Preston Foster;Margot Grahame,91,https://www.imdb.com/title/tt0026529/
A Night at the Opera,7.9,1935,Edmund Goulding;Groucho Marx;Chico Marx;Harpo Marx;Kitty Carlisle,96,https://www.imdb.com/title/tt0026778/
Kapitein Blood,7.7,1935,Errol Flynn;Olivia de Havilland;Lionel Atwill;Basil Rathbone,119,https://www.imdb.com/title/tt0026174/
Mr. Deeds Goes to Town,7.9,1936,Gary Cooper;Jean Arthur;George Bancroft;Lionel Stander,115,https://www.imdb.com/title/tt0027996/
My Man Godfrey,8.0,1936,William Powell;Carole Lombard;Alice Brady;Gail Patrick,94,https://www.imdb.com/title/tt0028010/
Vlammende harten,7.6,1936,Leslie Howard;Humphrey Bogart;Bette Davis;Genevieve Tobin,82,https://www.imdb.com/title/tt0028096/
De danskoning,7.6,1936,Fred Astaire;Ginger Rogers;Victor Moore;Helen Broderick,103,https://www.imdb.com/title/tt0028333/
Dodsworth,7.8,1936,Walter Huston;Ruth Chatterton;Paul Lukas;Mary Astor,101,https://www.imdb.com/title/tt0027532/
After the Thin Man,7.7,1936,William Powell;Myrna Loy;James Stewart;Elissa Landi,112,https://www.imdb.com/title/tt0027260/
Fury,7.9,1936,Sylvia Sidney;Spencer Tracy;Walter Abel;Bruce Cabot,92,https://www.imdb.com/title/tt0027652/
"Nee, mevrouw, dat nooit!",7.9,1936,Jean Harlow;William Powell;Myrna Loy;Spencer Tracy,98,https://www.imdb.com/title/tt0027884/
Marguerite Gautier,7.4,1936,Greta Garbo;Robert Taylor;Lionel Barrymore;Elizabeth Allan,109,https://www.imdb.com/title/tt0028683/
Modern Times,8.5,1936,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford,87,https://www.imdb.com/title/tt0027977/
Als het moederhart spreekt,7.4,1937,Barbara Stanwyck;John Boles;Anne Shirley;Barbara O'Neil,106,https://www.imdb.com/title/tt0029608/
Make Way for Tomorrow,8.2,1937,Victor Moore;Beulah Bondi;Fay Bainter;Thomas Mitchell,91,https://www.imdb.com/title/tt0029192/
Het verliefde spook,7.3,1937,Cary Grant;Constance Bennett;Roland Young;Billie Burke,97,https://www.imdb.com/title/tt0029682/
La Grande Illusion,8.1,1937,Jean Gabin;Dita Parlo;Pierre Fresnay;Erich von Stroheim,113,https://www.imdb.com/title/tt0028950/
De stormduivels,8.0,1937,Spencer Tracy;Freddie Bartholomew;Lionel Barrymore;Melvyn Douglas,117,https://www.imdb.com/title/tt0028691/
Een ster wordt geboren,7.3,1937,Jack Conway;Victor Fleming;Janet Gaynor;Fredric March;Adolphe Menjou;May Robson,111,https://www.imdb.com/title/tt0029606/
De dans naar het geluk,7.5,1937,Fred Astaire;Ginger Rogers;Edward Everett Horton;Eric Blore,109,https://www.imdb.com/title/tt0029546/
Dead End,7.3,1937,Sylvia Sidney;Joel McCrea;Humphrey Bogart;Wendy Barrie,93,https://www.imdb.com/title/tt0028773/
Uitstel van executie,7.3,1937,Sylvia Sidney;Henry Fonda;Barton MacLane;Jean Dixon,86,https://www.imdb.com/title/tt0029808/
Lost Horizon,7.7,1937,Ronald Colman;Jane Wyatt;Edward Everett Horton;John Howard,132,https://www.imdb.com/title/tt0029162/
Die verduivelde waarheid,7.7,1937,Irene Dunne;Cary Grant;Ralph Bellamy;Alexander D'Arcy,90,https://www.imdb.com/title/tt0028597/
Een dag op de renbaan,7.6,1937,Groucho Marx;Chico Marx;Harpo Marx;Allan Jones,111,https://www.imdb.com/title/tt0028772/
Sneeuwwitje en de zeven dwergen,7.6,1937,David Hand;Wilfred Jackson;Larry Morey;Perce Pearce;Ben Sharpsteen;Adriana Caselotti;Harry Stockwell;Lucille La Verne;Hal Rees,83,https://www.imdb.com/title/tt0029583/
Een stad op stelten,7.6,1937,Stan Laurel;Oliver Hardy;Sharon Lynn;James Finlayson,66,https://www.imdb.com/title/tt0029747/
Stage Door,7.8,1937,Katharine Hepburn;Ginger Rogers;Adolphe Menjou;Gail Patrick,92,https://www.imdb.com/title/tt0029604/
Pépé le Moko,7.8,1937,Jean Gabin;Gabriel Gabrio;Saturnin Fabre;Fernand Charpin,94,https://www.imdb.com/title/tt0029453/
Pygmalion,7.8,1938,Leslie Howard;Leslie Howard;Wendy Hiller;Wilfrid Lawson;Marie Lohr,96,https://www.imdb.com/title/tt0030637/
Het dierlijke in de mens,7.6,1938,Jean Gabin;Julien Carette;Simone Simon;Fernand Ledoux,100,https://www.imdb.com/title/tt0029957/
You Can't Take It with You,7.9,1938,Jean Arthur;James Stewart;Lionel Barrymore;Edward Arnold,126,https://www.imdb.com/title/tt0030993/
Bringing Up Baby,7.9,1938,Katharine Hepburn;Cary Grant;Charles Ruggles;Walter Catlett,102,https://www.imdb.com/title/tt0029947/
Engelen met smerige gezichten,7.9,1938,James Cagney;Pat O'Brien;Humphrey Bogart;Ann Sheridan,97,https://www.imdb.com/title/tt0029870/
The Adventures of Robin Hood,7.9,1938,William Keighley;Errol Flynn;Olivia de Havilland;Basil Rathbone;Claude Rains,102,https://www.imdb.com/title/tt0029843/
Levensproblemen,7.8,1938,Katharine Hepburn;Cary Grant;Doris Nolan;Lew Ayres,95,https://www.imdb.com/title/tt0030241/
Menschen in de mist,7.8,1938,Jean Gabin;Michel Simon;Michèle Morgan;Pierre Brasseur,91,https://www.imdb.com/title/tt0030643/
Alexander Njefski,7.6,1938,Dmitriy Vasilev;Nikolay Cherkasov;Nikolai Okhlopkov;Andrei Abrikosov;Dmitriy Orlov,112,https://www.imdb.com/title/tt0029850/
The Lady Vanishes,7.8,1938,Margaret Lockwood;Michael Redgrave;Paul Lukas;May Whitty,96,https://www.imdb.com/title/tt0030341/
Een gevaarlijke vrouw,7.5,1938,Bette Davis;Henry Fonda;George Brent;Margaret Lindsay,104,https://www.imdb.com/title/tt0030287/
A Christmas Carol,7.5,1938,Reginald Owen;Gene Lockhart;Kathleen Lockhart;Terry Kilburn,69,https://www.imdb.com/title/tt0029992/
Jongensstad,7.3,1938,Spencer Tracy;Mickey Rooney;Henry Hull;Leslie Fenton,96,https://www.imdb.com/title/tt0029942/
De vier veren,7.5,1939,John Clements;Ralph Richardson;C. Aubrey Smith;June Duprez,129,https://www.imdb.com/title/tt0031334/
De hond van de Baskervilles,7.5,1939,Basil Rathbone;Nigel Bruce;Richard Greene;Wendy Barrie,80,https://www.imdb.com/title/tt0031448/
Levensdans,7.5,1939,Bette Davis;George Brent;Humphrey Bogart;Geraldine Fitzgerald,104,https://www.imdb.com/title/tt0031210/
"Goodbye, Mr. Chips",7.9,1939,Sidney Franklin;Robert Donat;Greer Garson;Terry Kilburn;John Mills,114,https://www.imdb.com/title/tt0031385/
Gunga Din,7.3,1939,Cary Grant;Joan Fontaine;Victor McLaglen;Douglas Fairbanks Jr.,117,https://www.imdb.com/title/tt0031398/
Ninotchka,7.9,1939,Greta Garbo;Melvyn Douglas;Ina Claire;Bela Lugosi,110,https://www.imdb.com/title/tt0031725/
Of Mice and Men,7.9,1939,Lon Chaney Jr.;Burgess Meredith;Betty Field;Charles Bickford,106,https://www.imdb.com/title/tt0031742/
Schaduwen uit het verleden,7.9,1939,James Cagney;Humphrey Bogart;Priscilla Lane;Gladys George,106,https://www.imdb.com/title/tt0031867/
Stagecoach,7.9,1939,John Wayne;Claire Trevor;Andy Devine;John Carradine,96,https://www.imdb.com/title/tt0031971/
Gejaagd door de wind,8.1,1939,George Cukor;Sam Wood;Clark Gable;Vivien Leigh;Thomas Mitchell;Barbara O'Neil,238,https://www.imdb.com/title/tt0031381/
The Hunchback of Notre Dame,7.8,1939,Charles Laughton;Maureen O'Hara;Cedric Hardwicke;Thomas Mitchell,117,https://www.imdb.com/title/tt0031455/
The Women,7.8,1939,Norma Shearer;Joan Crawford;Rosalind Russell;Mary Boland,133,https://www.imdb.com/title/tt0032143/
Mr. Smith Goes to Washington,8.1,1939,James Stewart;Jean Arthur;Claude Rains;Edward Arnold,129,https://www.imdb.com/title/tt0031679/
Wuthering Heights,7.6,1939,Merle Oberon;Laurence Olivier;David Niven;Flora Robson,104,https://www.imdb.com/title/tt0032145/
Beau Geste,7.6,1939,Gary Cooper;Ray Milland;Robert Preston;Brian Donlevy,112,https://www.imdb.com/title/tt0031088/
La règle du jeu,8.0,1939,Marcel Dalio;Nora Gregor;Paulette Dubost;Mila Parély,110,https://www.imdb.com/title/tt0031885/
The Wizard of Oz,8.0,1939,George Cukor;Mervyn LeRoy;Norman Taurog;Richard Thorpe;King Vidor;Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr,102,https://www.imdb.com/title/tt0032138/
Alleen engelen hebben vleugels,7.7,1939,Cary Grant;Jean Arthur;Rita Hayworth;Richard Barthelmess,121,https://www.imdb.com/title/tt0031762/
Young Mr. Lincoln,7.6,1939,Henry Fonda;Alice Brady;Marjorie Weaver;Arleen Whelan,100,https://www.imdb.com/title/tt0032155/
De dag breekt aan,7.7,1939,Jean Gabin;Jacqueline Laurent;Arletty;Jules Berry,93,https://www.imdb.com/title/tt0031514/
Another Thin Man,7.4,1939,William Powell;Myrna Loy;Virginia Grey;Otto Kruger,103,https://www.imdb.com/title/tt0031047/
The Adventures of Sherlock Holmes,7.4,1939,Basil Rathbone;Nigel Bruce;Ida Lupino;Alan Marshal,85,https://www.imdb.com/title/tt0031022/
De wilde engel,7.7,1939,Marlene Dietrich;James Stewart;Mischa Auer;Charles Winninger,95,https://www.imdb.com/title/tt0031225/
Rebecca,8.1,1940,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson,130,https://www.imdb.com/title/tt0032976/
Wie van mijn vrouwtjes?,7.3,1940,Irene Dunne;Cary Grant;Randolph Scott;Gail Patrick,88,https://www.imdb.com/title/tt0029284/
De dictator,8.4,1940,Charles Chaplin;Paulette Goddard;Jack Oakie;Reginald Gardiner,125,https://www.imdb.com/title/tt0032553/
Het teken van Zorro,7.6,1940,Tyrone Power;Linda Darnell;Basil Rathbone;Gale Sondergaard,94,https://www.imdb.com/title/tt0032762/
Pinocchio,7.4,1940,T. Hee;Wilfred Jackson;Jack Kinney;Hamilton Luske;Bill Roberts;Ben Sharpsteen;Dickie Jones;Christian Rub;Mel Blanc;Billy Bletcher,88,https://www.imdb.com/title/tt0032910/
Tweestrijd der gevoelens,7.4,1940,Greer Garson;Laurence Olivier;Mary Boland;Edna May Oliver,118,https://www.imdb.com/title/tt0032943/
The Westerner,7.4,1940,Gary Cooper;Walter Brennan;Doris Davenport;Fred Stone,100,https://www.imdb.com/title/tt0033253/
The Grapes of Wrath,8.1,1940,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin,129,https://www.imdb.com/title/tt0032551/
De brief,7.6,1940,Bette Davis;Herbert Marshall;James Stephenson;Frieda Inescort,95,https://www.imdb.com/title/tt0032701/
Remember the Night,7.6,1940,Barbara Stanwyck;Fred MacMurray;Beulah Bondi;Elizabeth Patterson,94,https://www.imdb.com/title/tt0032981/
Waterloo Bridge,7.8,1940,Vivien Leigh;Robert Taylor;Lucile Watson;Virginia Field,108,https://www.imdb.com/title/tt0033238/
The Shop Around the Corner,8.1,1940,Margaret Sullavan;James Stewart;Frank Morgan;Joseph Schildkraut,99,https://www.imdb.com/title/tt0033045/
Foreign Correspondent,7.5,1940,Joel McCrea;Laraine Day;Herbert Marshall;George Sanders,120,https://www.imdb.com/title/tt0032484/
His Girl Friday,7.9,1940,Cary Grant;Rosalind Russell;Ralph Bellamy;Gene Lockhart,92,https://www.imdb.com/title/tt0032599/
De bronzen godin,7.9,1940,Cary Grant;Katharine Hepburn;James Stewart;Ruth Hussey,112,https://www.imdb.com/title/tt0032904/
Fantasia,7.7,1940,Samuel Armstrong;Ford Beebe Jr.;Norman Ferguson;David Hand;Jim Handley;T. Hee;Wilfred Jackson;Hamilton Luske;Bill Roberts;Paul Satterfield;Ben Sharpsteen;Leopold Stokowski;Deems Taylor;The Philadelphia Orchestra;Corey Burton,125,https://www.imdb.com/title/tt0032455/
De dief van Bagdad,7.5,1940,Michael Powell;Tim Whelan;Alexander Korda;Zoltan Korda;William Cameron Menzies;Conrad Veidt;Sabu;June Duprez;John Justin,106,https://www.imdb.com/title/tt0033152/
Zeehavik,7.7,1940,Errol Flynn;Brenda Marshall;Claude Rains;Donald Crisp,127,https://www.imdb.com/title/tt0033028/
Duistere wegen,7.3,1940,George Raft;Humphrey Bogart;Ann Sheridan;Ida Lupino,95,https://www.imdb.com/title/tt0033149/
Detective tegen wil en dank,7.3,1941,William Powell;Myrna Loy;Barry Nelson;Donna Reed,97,https://www.imdb.com/title/tt0034172/
The Maltese Falcon,8.0,1941,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre,100,https://www.imdb.com/title/tt0033870/
The Little Foxes,8.0,1941,Bette Davis;Herbert Marshall;Teresa Wright;Richard Carlson,116,https://www.imdb.com/title/tt0033836/
Man Hunt,7.3,1941,Walter Pidgeon;Joan Bennett;George Sanders;John Carradine,105,https://www.imdb.com/title/tt0033873/
The Lady Eve,7.8,1941,Barbara Stanwyck;Henry Fonda;Charles Coburn;Eugene Pallette,94,https://www.imdb.com/title/tt0033804/
Acht professoren en een meisje,7.8,1941,Gary Cooper;Barbara Stanwyck;Oskar Homolka;Henry Travers,111,https://www.imdb.com/title/tt0033373/
Here Comes Mr. Jordan,7.6,1941,Robert Montgomery;Claude Rains;Evelyn Keyes;Rita Johnson,94,https://www.imdb.com/title/tt0033712/
Sergeant York,7.7,1941,Gary Cooper;Walter Brennan;Joan Leslie;George Tobias,134,https://www.imdb.com/title/tt0034167/
49th Parallel,7.3,1941,Leslie Howard;Laurence Olivier;Raymond Massey;Anton Walbrook,123,https://www.imdb.com/title/tt0033627/
Argwaan,7.4,1941,Cary Grant;Joan Fontaine;Cedric Hardwicke;Nigel Bruce,99,https://www.imdb.com/title/tt0034248/
High Sierra,7.5,1941,Ida Lupino;Humphrey Bogart;Alan Curtis;Arthur Kennedy,100,https://www.imdb.com/title/tt0033717/
Citizen Kane,8.3,1941,Orson Welles;Joseph Cotten;Dorothy Comingore;Agnes Moorehead,119,https://www.imdb.com/title/tt0033467/
"John Doe, de man die het meende",7.6,1941,Gary Cooper;Barbara Stanwyck;Edward Arnold;Walter Brennan,135,https://www.imdb.com/title/tt0033891/
